House,Name,Image,ImageUrl,Key,City,State,Country,Left?,Latitude,Longitude,City.1,State.1,County,Zip,Country.1,Source,Mansion,Location
Alpha House,Sabrina Quesada,https://www.famousbirthdays.com/headshots/sabrina-quesada-2.jpg,Sabrina_Quesada.png,8,Pembroke Pines,FL,USA,,26.021239,-80.340396,Pembroke Pines,FL,Broward County,33028.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Karin Moskalensky,https://www.famousbirthdays.com/headshots/karin-moskalensky-2.jpg,Karin_Moskalensky.png,2,San Diego,CA,USA,,32.724103,-117.17091200000002,San Diego,CA,San Diego County,92101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Adam Ian Cohen,https://www.famousbirthdays.com/headshots/adam-cohen-tvactor-1.jpg,Adam_Ian_Cohen.png,3,Beverly Hills,CA,USA,,33.786594,-118.298662,Beverly Hills,CA,Los Angeles County,90209.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Sydney Vézina,https://www.famousbirthdays.com/headshots/sydney-v--zina-3.jpg,Sydney_Vezina.png,1,Los Angeles,CA,USA,,33.973951,-118.248405,Los Angeles,CA,Los Angeles County,90001.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Peyton Jordan,https://www.famousbirthdays.com/headshots/peyton-jord-2.jpg,Peyton_Jordan.png,4,Las Vegas,NV,USA,,36.17372,-115.10647,Las Vegas,NV,Clark County,89101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Jay Ulloa,https://www.famousbirthdays.com/faces/ulloa-jay-image.jpg,Jay_Ulloa.png,9,Sacramento,CA,USA,,38.380456,-121.555406,Sacramento,CA,Sacramento County,94203.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Michelle Wozniak,https://www.famousbirthdays.com/headshots/michelle-wozniak-4.jpg,Michelle_Wozniak.png,6,Avon,OH,USA,left,41.448492,-82.01986600000002,Avon,OH,Lorain County,44011.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Emily Nicol,https://www.famousbirthdays.com/headshots/xanaxbarbie69-3.jpg,Emily_Nicol.png,5,North Providence,RI,USA,,41.8501,-71.46616999999998,North Providence,RI,Providence County,2911.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Ajani Huff,https://www.famousbirthdays.com/faces/huff-ajani-image.jpg,Ajani_Huff.png,7,Union Springs,NY,USA,,42.83979,-76.69328,Union Springs,NY,Cayuga County,13160.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Byte Squad,SebbyJon,https://www.famousbirthdays.com/faces/sebbyjon-image.jpg,SebbyJon.png,15,Isle of Wight,England,,,50.6707725,-1.6087711999999998,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Shauni,https://www.famousbirthdays.com/headshots/shauni-kibby-5.jpg,Shauni.png,17,Somerset,England,,,51.075575,-3.6038992,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Monty Keates,https://www.famousbirthdays.com/headshots/monty-keates-6.jpg,Monty_Keates.png,13,London,England,England,,51.528308,-0.3817766,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Emily Steers,https://www.famousbirthdays.com/faces/emily-steers-image.jpg,Emily_Steers.png,11,London,England,England,,51.5285578,-0.2420245,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Lily Rose,https://www.famousbirthdays.com/faces/itslilyrose-image.jpg,Lily_Rose.png,14,London,England,England,,51.536089,-0.1604776,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Jake Sweet,https://www.famousbirthdays.com/faces/surfaceldn-image.jpg,Jake_Sweet.png,16,London,England,England,,51.616162,-0.7816878,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Kt Franklin,https://www.famousbirthdays.com/headshots/katie-franklin-2.jpg,Kt_Franklin.png,10,Oxford,England,England,,51.7503954,-1.3177991000000002,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Lauren Kearns,https://www.famousbirthdays.com/headshots/lauren-kearns-2.jpg,Lauren_Kearns.png,12,Northhampton,England,England,,52.2397635,-0.9506093,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Clubhouse For The Boys,Sebastian Topete,https://www.famousbirthdays.com/headshots/sebastian-topete-3.jpg,Sebastian_Topete.png,127,Beverly Hills,CA,USA,,34.082543900000005,-118.4345534,Beverly Hills,CA,Los Angeles County,90209.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse For The Boys,"Hollywood Hills, CA"
Clubhouse For The Boys,Isaak Presley,https://www.famousbirthdays.com/faces/presley-isaak-image.jpg,Isaak_Presley.png,128,Beverly Hills,CA,USA,,34.0946931,-118.433519,Beverly Hills,CA,Los Angeles County,90209.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse For The Boys,"Hollywood Hills, CA"
Clubhouse For The Boys,Christopher Romero,https://www.famousbirthdays.com/headshots/christopher-romero-3.jpg,Christopher_Romero.png,129,Beverly Hills,CA,USA,,34.162876000000004,-118.6441923,Beverly Hills,CA,Los Angeles County,90209.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse For The Boys,"Hollywood Hills, CA"
Clubhouse For The Boys,Ryan Butler,https://www.famousbirthdays.com/faces/butler-ryan-familymember-image.jpg,Ryan_Butler.png,130,Beverly Hills,CA,USA,,34.209075799999994,-118.3994394,Beverly Hills,CA,Los Angeles County,90209.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse For The Boys,"Hollywood Hills, CA"
Clubhouse Next,Alicia Montes,https://www.famousbirthdays.com/faces/montes-alicia-image.jpg,Alicia_Montes.png,27,South FL,,USA,left,27.5219554,-88.309827,,,,,,,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Alexa Montes,https://www.famousbirthdays.com/headshots/alexa-montes-1.jpg,Alexa_Montes.png,78,South FL,,USA,,27.5219554,-88.309827,,,,,,,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Alexa Montes,https://www.famousbirthdays.com/headshots/alexa-montes-1.jpg,Alexa_Montes.png,28,South FL,,USA,left,27.7846085,-82.61410240000002,,,,,,,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Alicia Montes,https://www.famousbirthdays.com/faces/montes-alicia-image.jpg,Alicia_Montes.png,77,South FL,,USA,,27.7846085,-82.61410240000002,,,,,,,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Pau Torres,https://www.famousbirthdays.com/headshots/pau-torres-2.jpg,Pau_Torres.png,26,Chihuahua,Mexico,Mexico,,28.6708588,-106.205047,Mexico,MO,Audrain County,65265.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Ahlyssa Marie,https://www.famousbirthdays.com/headshots/ahlyssa-marie-2.jpg,Ahlyssa_Marie.png,18,Tucson,AZ,USA,,32.217975,-110.970869,Tucson,AZ,Pima County,85701.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Jaden Barba,https://www.famousbirthdays.com/headshots/jaden-barba-2.jpg,Jaden_Barba.png,19,Temecula,CA,USA,,33.752886,-116.055617,Temecula,CA,Riverside County,92589.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Michelle Wozniak,https://www.famousbirthdays.com/headshots/michelle-wozniak-4.jpg,Michelle_Wozniak.png,20,Los Angeles,CA,USA,,34.0201613,-118.6919206,Los Angeles,CA,Los Angeles County,90001.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Jessica Belkin,https://www.famousbirthdays.com/headshots/jessica-belkin-2.jpg,Jessica_Belkin.png,24,Los Angeles,CA,USA,,34.076559,-118.4544274,Los Angeles,CA,Los Angeles County,90001.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Dylon Shogo,https://www.famousbirthdays.com/headshots/dylon-shogo-2.jpg,Dylon_Shogo.png,21,Los Angeles,CA,USA,,34.1429409,-118.4716463,Los Angeles,CA,Los Angeles County,90001.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Rad Shogo,https://www.famousbirthdays.com/headshots/rad-shogo-2.jpg,Rad_Shogo.png,22,Los Angeles,CA,USA,,34.146534700000004,-118.4242428,Los Angeles,CA,Los Angeles County,90001.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Fabio Guerra,https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/03c661917a8366d96904bc51ca871c0d~c5_1080x1080.jpeg,Fabio_Guerra.png,23,,Portugal,Portugal,,35.8382131,-36.8823908,,,,,,,Clubhouse Next,"Beverly Hills, CA"
Clubhouse Next,Dallas Caroline,https://www.famousbirthdays.com/faces/caroline-dallas-image.jpg,Dallas_Caroline.png,25,Santa Rosa,CA,USA,,38.450412,-122.783159,Santa Rosa,CA,Sonoma County,95401.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Clubhouse Next,"Beverly Hills, CA"
G.O.A.T. House,Leila Ecker,https://www.famousbirthdays.com/faces/ecker-leila-image.jpg,Leila_Ecker.png,37,Killarney,Ireland,Ireland,,52.0605348,-9.542619300000002,Ireland,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Shauna Davitt,https://www.famousbirthdays.com/faces/davitt-shauna-image.jpg,Shauna_Davitt.png,35,Wexford,Ireland,Ireland,,52.3337198,-6.5082094,Ireland,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Lauren Whelan,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/ef7e97d76ba4a2030f12cf5d57bda676~c5_720x720.jpeg?x-expires=1601337600&x-signature=PgghiMfXCrxTT%2BA%2FfzkuuYb9Oi4%3D,Lauren_Whelan.png,36,Pollerton,Ireland,Ireland,,52.8431108,-6.917320599999999,Ireland,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Andrea Camila,https://www.famousbirthdays.com/headshots/andrea-camila-2.jpg,Andrea_Camila.png,30,Dublin,Ireland,Ireland,,53.3239919,-6.5258808,,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Marty Guilfoyle,https://p16-sign-sg.tiktokcdn.com/tos-maliva-avt-0068/1673727421356038~c5_720x720.jpeg?x-expires=1601337600&x-signature=qsquY0GQ2%2Ft65M3lKOfF51%2BIpns%3D,Marty_Guilfoyle.png,29,Dublin,Ireland,Ireland,left,53.3242377,-6.3861295999999985,Ireland,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Lewis Kelly,https://www.famousbirthdays.com/faces/kelly-lewis-image.jpg,Lewis_Kelly.png,31,Dublin,Ireland,Ireland,,53.3462798,-6.4737817,,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Thomas Arnold,https://p16-va-default.akamaized.net/img/musically-maliva-obj/1613827811948550~c5_720x720.jpeg,Thomas_Arnold.png,32,Dublin,Ireland,Ireland,,53.4139466,-6.648966099999999,,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Jake Browne,avatar.png,avatar.png,33,Dublin,Ireland,Ireland,,53.6129718,-8.3772499,,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Nia Gallagher,https://www.irishexaminer.com/cms_media/module_img/3897/1948652_4_articleinline_Screenshot_202020-09-07_20at_2012.42.21.jpg,Nia_Gallagher.png,38,Longford,Ireland,Ireland,,53.7265549,-7.8292492,Ireland,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
G.O.A.T. House,Ryan Mar,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1653096738985990~c5_720x720.jpeg?x-expires=1601337600&x-signature=gFkBzg5uQjS2fOZab5D6zRPcYLk%3D,Ryan_Mar.png,34,Dublin,Ireland,Ireland,,55.7931275,-11.674292,,IN,Dubois County,47545.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,G.O.A.T. House,"Dublin, Ireland"
Halo House,Ace Cross Cook,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1639518020276229~c5_720x720.jpeg?x-expires=1601334000&x-signature=VwnpcZABtrQwrOstMqWN0xlfplY%3D,Ace_Cross_Cook.png,149,Atlanta,GA,,,33.7679672,-84.7007946,,,,,,,Halo House,"Scottsdale, AZ"
Halo House,Alex Kawaguchi,https://www.famousbirthdays.com/faces/kawaguchi-alex-image.jpg,Alex_Kawaguchi.png,146,Los Angeles,CA,,,34.0203464,-118.9721922,,,,,,,Halo House,"Scottsdale, AZ"
Halo House,Lauren Babin,https://www.famousbirthdays.com/headshots/lauren-babin-1.jpg,Lauren_Babin.png,148,Los Angeles,CA,,,34.095986,-118.5996862,,,,,,,Halo House,"Scottsdale, AZ"
Halo House,Josh Sadowski,https://www.famousbirthdays.com/faces/sadowski-josh-image.jpg,Josh_Sadowski.png,147,Frederick,MD,,,39.4406192,-77.4892428,,,,,,,Halo House,"Scottsdale, AZ"
Jet House,Nicholas Murray,https://p77-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/f1269e05c7a92fa2613b34eb3fd51c12.jpeg?x-expires=1601337600&x-signature=0iC7rjTUam9VUqVA8OhyRwKI3Is%3D,Nicholas_Murray.png,131,London,England,England,,51.5285578,-0.2420245,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Jet House,Georgie Rubery,https://www.famousbirthdays.com/faces/rubery-georgie-image.jpg,Georgie_Rubery.png,132,London,England,England,,51.5285578,-0.2420245,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Jet House,Charlie Davis,https://p77-sign-sg.tiktokcdn.com/musically-maliva-obj/6fee5f7a0264880e1c287b0e336fcb0c~c5_720x720.jpeg?x-expires=1601337600&x-signature=LekUXV3Dsw0dpeyb1Eet9vqGqlU%3D,Charlie_Davis.png,137,London,England,England,,51.5285578,-0.2420245,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Jet House,Ben Saunders,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/1656708699014149~c5_720x720.jpeg?x-expires=1601337600&x-signature=dHsj582AbkjDFQniyugmIz8Ny9c%3D,Ben_Saunders.png,138,London,England,England,,51.5285578,-0.2420245,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Jet House,Mac (itsahboi),https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/1665174921719814~c5_720x720.jpeg,Mac_(itsahboi).png,133,London,England,England,,51.5287352,-0.3817796,,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Jet House,James Essex,https://www.famousbirthdays.com/faces/james-essex-image.jpg,James_Essex.png,135,London,England,England,,51.5878608,-0.22110460000000004,,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Jet House,Maddie Davies,https://www.famousbirthdays.com/faces/davies-maddie-image.jpg,Maddie_Davies.png,136,Stevenage,England,England,,51.9026699,-0.2278548,,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Jet House,Olivia Duffin,https://www.famousbirthdays.com/faces/duffin-olivia-image.jpg,Olivia_Duffin.png,134,Stockport,England,England,,53.4175965,-2.2191016,,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Jet House,"Costa Blanca, Spain"
Launch House,Brett Goldstein,https://pbs.twimg.com/profile_images/1264362693269393408/0KdxjndL.jpg,Brett_Goldstein.png,39,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Michael Houck,https://pbs.twimg.com/profile_images/1270277608857468929/ey5gTMKx.jpg,Michael_Houck.png,40,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Lucy Mort,https://pbs.twimg.com/profile_images/1184273035282530310/iO92z06m_400x400.jpg,Lucy_Mort.png,41,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Patricia Mou,https://uploads-ssl.webflow.com/5edc35fae93ebb8456425f57/5edc821e341a43912b80246d_93833372.jpeg,Patricia_Mou.png,42,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Patrick Rivera,https://pbs.twimg.com/profile_images/1252251759122296833/O5el7P9N.jpg,Patrick_Rivera.png,43,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Brenner Spear,avatar.png,avatar.png,44,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Kunal Shah,https://pbs.twimg.com/profile_images/1106652469424091136/ExTh93zR.jpg,Kunal_Shah.png,45,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Steven Miller,https://pbs.twimg.com/profile_images/1217574038509244416/D9ZZC0mG_400x400.jpg,Steven_Miller.png,46,San Francisco,CA,USA,,37.776646,-122.417481,San Francisco,CA,San Francisco County,94101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Launch House,Phil Hedayatnia,avatar.png,avatar.png,47,New York City,NY,USA,,40.750422,-73.996328,New York,NY,New York County,10001.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Launch House,"Tulum, Mexico"
Not a Content House,Devyn Winkler,https://www.famousbirthdays.com/headshots/devyn-winkler-2.jpg,Devyn_Winkler.png,51,San Antonio,TX,USA,,29.468413,-98.528889,San Antonio,TX,Bexar County,78201.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Not a Content House,"Bel Air, CA"
Not a Content House,Katie Sigmond,https://www.famousbirthdays.com/faces/sigmond-katie-image.jpg,Katie_Sigmond.png,52,Costa Mesa,CA,USA,left,33.678399,-117.911715,Costa Mesa,CA,Orange County,92626.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Not a Content House,"Bel Air, CA"
Not a Content House,Lauren Kettering,https://www.famousbirthdays.com/headshots/lauren-kettering-2.jpg,Lauren_Kettering.png,50,Anaheim,CA,USA,,33.844983,-117.952151,Anaheim,CA,Orange County,92801.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Not a Content House,"Bel Air, CA"
Not a Content House,Madi Monroe,https://www.famousbirthdays.com/headshots/madi-monroe-williams-2.jpg,Madi_Monroe.png,49,Bel Air,CA,USA,,34.1029071,-118.4934351,,,,,,,Not a Content House,"Bel Air, CA"
Not a Content House,Ava Tortorici,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/13c467a064ef26fa005bdb1e577d1257~c5_720x720.jpeg?x-expires=1601337600&x-signature=EoZ8kwSBS3tB5i90X8Rfo%2BF8Mzk%3D,Ava_Tortorici.png,53,Montclair,NJ,USA,,40.811908,-74.216389,Montclair,NJ,Essex County,7042.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Not a Content House,"Bel Air, CA"
Not a Content House,Cynthia Parker,https://www.famousbirthdays.com/headshots/cynthia-parker-1.jpg,Cynthia_Parker.png,48,Ontario,Canada,Canada,,48.9535347,-93.7285955,,ON,,,CA,US Census Bureau,Not a Content House,"Bel Air, CA"
Shluv House,Javier Romero,https://www.famousbirthdays.com/faces/jav-lm-image.jpg,Javier_Romero.png,57,Bucaramanga,Colombia,,,7.1192899,-73.16799759999998,,SD,Marshall County,57430.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Shluv House,"Los Angeles, CA"
Shluv House,Michael Le,https://www.famousbirthdays.com/faces/le-michael-image.jpg,Michael_Le.png,55,West Palm Beach,FL,USA,,26.715844,-80.070249,West Palm Beach,FL,Palm Beach County,33401.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Shluv House,"Los Angeles, CA"
Shluv House,Jonathan Le,https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/1665238547253253~c5_720x720.jpeg,Jonathan_Le.png,56,West Palm Beach,FL,USA,,26.7419207,-80.1990802,West Palm Beach,FL,Palm Beach County,33401.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Shluv House,"Los Angeles, CA"
Shluv House,Derek Graham,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/74124d0bf776e0b4c4efdd9b3c93c5d4~c5_720x720.jpeg?x-expires=1601334000&x-signature=5ikwRxSqcytFxiAdSZh7n2xr4Mw%3D,Derek_Graham.png,60,West Palm Beach,FL,,,26.742074100000004,-80.19908029999998,,,,,,,Shluv House,"Los Angeles, CA"
